_id,fullAddress,__v,address,bofa_value,city,createdAt,details.beds,details.baths,details.squareft,details.built,home_value_80,movoto_estimate,movoto_estimate_30,movoto_estimate_40,price,scrapedAt,state,status,tier,updatedAt,zip
6894bbfb5b36f59def52d943,"2236 W Diamond St, Philadelphia, PA 19121",0,"2236 W Diamond St, Philadelphia, PA 19121",,Philadelphia,2025-08-07T14:45:15.577Z,6,1,2040,1915,,,,,"$149,999",2025-08-07T14:45:15.573Z,PA,scraped,,2025-08-07T14:45:15.577Z,19121
6894bbfb5b36f59def52d945,"612 Walnut St, Lebanon, PA 17042",0,"612 Walnut St, Lebanon, PA 17042",,Lebanon,2025-08-07T14:45:15.591Z,3,2,1482,1930,,,,,"$180,000",2025-09-15T16:11:53.770Z,PA,scraped,,2025-09-15T16:11:53.770Z,17042
6894bbfb5b36f59def52d947,"416 E Euclid Ave, New Castle, PA 16105",0,"416 E Euclid Ave, New Castle, PA 16105",,New Castle,2025-08-07T14:45:15.595Z,3,1,1580,1910,,,,,"$149,900",2025-09-15T16:11:53.913Z,PA,scraped,,2025-09-15T16:11:53.913Z,16105
6894bbfb5b36f59def52d949,"4034 Cloverlea St, Brentwood, PA 15227",0,"4034 Cloverlea St, Brentwood, PA 15227",,Brentwood,2025-08-07T14:45:15.597Z,3,2,1373,1930,,,,,"$165,000",2025-09-10T21:17:22.193Z,PA,scraped,,2025-09-10T21:17:22.193Z,15227
6894bbfb5b36f59def52d94b,"221 Belmont Ave, Canonsburg, PA 15317",0,"221 Belmont Ave, Canonsburg, PA 15317",,Canonsburg,2025-08-07T14:45:15.599Z,4,2,2333,1900,,,,,"$136,000",2025-09-15T16:11:53.759Z,PA,scraped,,2025-09-15T16:11:53.759Z,15317
6894bbfb5b36f59def52d94d,"1819 Zarker St, Harrisburg, PA 17104",0,"1819 Zarker St, Harrisburg, PA 17104",,Harrisburg,2025-08-07T14:45:15.602Z,3,1,1408,1910,,,,,"$99,900",2025-08-07T14:45:15.602Z,PA,scraped,,2025-08-07T14:45:15.602Z,17104
6894bbfb5b36f59def52d94f,"1000 Mill Rd, Mechanicsburg, PA 17050",0,"1000 Mill Rd, Mechanicsburg, PA 17050",,Mechanicsburg,2025-08-07T14:45:15.604Z,3,1,1499,1930,,,,,"$149,900",2025-09-15T16:11:53.733Z,PA,scraped,,2025-09-15T16:11:53.734Z,17050
6894bbfb5b36f59def52d951,"1542 Haines St, Philadelphia, PA 19126",0,"1542 Haines St, Philadelphia, PA 19126",,Philadelphia,2025-08-07T14:45:15.605Z,7,3,4020,1940,,,,,"$189,000",2025-08-07T14:45:15.605Z,PA,scraped,,2025-08-07T14:45:15.605Z,19126
6894bbfb5b36f59def52d953,"1612 Miriam St, Swissvale, PA 15218",0,"1612 Miriam St, Swissvale, PA 15218",,Swissvale,2025-08-07T14:45:15.607Z,3,1,1182,1929,,,,,"$205,000",2025-09-10T21:17:22.194Z,PA,scraped,,2025-09-10T21:17:22.194Z,15218
6894bbfb5b36f59def52d955,"1022 Lincoln Ave, Duquesne, PA 15110",0,"1022 Lincoln Ave, Duquesne, PA 15110",,Duquesne,2025-08-07T14:45:15.609Z,3,1,1725,1938,,,,,"$75,000",2025-08-07T14:45:15.609Z,PA,scraped,,2025-08-07T14:45:15.609Z,15110
6894bbfb5b36f59def52d957,"224 Kearsarge St, Mt Washington, PA 15211",0,"224 Kearsarge St, Mt Washington, PA 15211",,Mt Washington,2025-08-07T14:45:15.610Z,4,2,3024,1900,,,,,"$99,900",2025-09-15T16:11:54.000Z,PA,scraped,,2025-09-15T16:11:54.000Z,15211
6894bbfb5b36f59def52d959,"61 Sycamore St, Etna, PA 15223",0,"61 Sycamore St, Etna, PA 15223",,Etna,2025-08-07T14:45:15.610Z,3,2,1361,1902,,,,,"$144,900",2025-09-10T21:17:22.214Z,PA,scraped,,2025-09-10T21:17:22.214Z,15223
